Item ID,Weight(in kg.),PricePerUnit,Quantity,Shipping Cost,ShippingRevenue,LogisticProfit,DeliveryStatus
54,123,18,160,8,99,91,FALSE
55,200,8,41,7,80,73,FALSE
56,91,10,147,19,35,16,FALSE
57,94,4,242,9,59,50,FALSE
58,78,30,184,19,36,17,FALSE
59,106,19,256,15,62,47,FALSE
60,26,7,60,18,88,70,True
61,139,24,122,7,63,56,FALSE
62,164,3,250,15,96,81,FALSE
63,32,23,44,13,72,59,FALSE
64,121,26,105,6,55,49,FALSE
65,116,10,119,10,76,66,FALSE
66,72,9,160,4,29,25,FALSE
67,192,5,191,12,74,62,FALSE
68,142,27,205,17,76,59,FALSE
69,106,23,236,6,51,45,FALSE
70,50,27,54,9,87,78,True
71,103,19,157,6,88,82,FALSE
72,63,30,35,4,61,57,FALSE
73,85,20,93,18,26,8,FALSE
74,188,23,38,16,80,64,FALSE
75,147,14,25,10,96,86,FALSE
76,20,11,50,9,85,76,FALSE
77,191,25,219,9,20,11,FALSE
78,136,23,247,9,94,85,FALSE
79,105,12,55,19,75,56,FALSE
80,147,10,125,15,43,28,FALSE
81,91,16,212,14,65,51,FALSE
82,186,19,95,13,44,31,FALSE
83,43,8,82,7,84,77,True
84,115,15,171,8,24,16,FALSE
85,50,13,39,2,24,22,True
86,79,25,187,13,46,33,FALSE
87,96,6,238,16,42,26,FALSE
88,118,15,156,17,30,13,True
89,174,2,291,7,98,91,FALSE
90,101,21,247,7,72,65,FALSE
91,99,23,28,13,95,82,FALSE
92,196,15,208,15,50,35,FALSE
93,179,5,58,8,45,37,FALSE
94,75,11,58,15,36,21,FALSE
95,109,16,268,4,85,81,FALSE
96,100,7,81,14,99,85,FALSE
97,98,27,70,2,51,49,FALSE
98,43,18,216,3,22,19,True
99,109,6,196,15,43,28,True
100,81,20,252,8,65,57,FALSE
101,126,7,110,11,25,14,FALSE
102,148,29,219,19,54,35,FALSE
103,26,11,259,2,38,36,FALSE
104,145,20,59,15,73,58,FALSE
105,106,25,263,16,45,29,FALSE
106,127,13,233,4,23,19,FALSE
107,121,2,299,14,90,76,FALSE
108,136,16,241,8,67,59,FALSE
109,58,14,90,19,61,42,FALSE
110,109,8,41,7,54,47,FALSE
111,37,23,295,19,84,65,FALSE
112,141,18,244,13,37,24,FALSE
113,104,10,100,10,58,48,FALSE
114,40,15,24,18,48,30,FALSE
115,75,17,205,7,22,15,FALSE
116,70,15,84,11,82,71,FALSE
117,160,24,99,10,42,32,FALSE
118,124,14,44,4,93,89,FALSE
119,33,23,100,4,87,83,FALSE
120,161,24,125,11,64,53,FALSE
121,49,18,225,3,32,29,FALSE
122,59,10,284,3,47,44,FALSE
123,133,2,216,16,77,61,FALSE
124,21,10,224,16,83,67,FALSE
125,42,8,193,7,60,53,FALSE
126,59,1,226,2,67,65,FALSE
127,140,27,222,11,79,68,FALSE
128,140,16,103,11,52,41,FALSE
129,183,8,239,10,27,17,FALSE
130,47,1,40,4,66,62,FALSE
131,53,18,54,16,99,83,FALSE
132,28,2,143,18,44,26,FALSE
133,151,18,142,2,54,52,FALSE
134,183,14,210,20,25,5,FALSE
135,145,19,174,10,36,26,FALSE
136,110,4,193,1,80,79,FALSE
137,165,25,170,12,58,46,FALSE
138,162,4,152,11,80,69,FALSE
139,133,11,27,4,63,59,True
140,156,14,282,17,66,49,FALSE
141,31,15,252,3,55,52,FALSE
142,33,20,136,17,81,64,FALSE
143,92,26,290,11,23,12,FALSE
144,174,13,80,17,97,80,FALSE
145,190,20,72,8,63,55,FALSE
146,36,26,22,7,71,64,FALSE
147,188,15,72,16,38,22,FALSE
148,185,29,255,4,52,48,FALSE
149,42,9,132,18,80,62,FALSE
150,98,25,203,14,26,12,FALSE
151,56,2,47,15,30,15,FALSE
152,85,1,47,20,43,23,FALSE
153,146,8,164,20,84,64,FALSE
154,110,3,162,2,24,22,FALSE
155,94,3,281,11,75,64,FALSE
156,124,11,75,7,50,43,FALSE
157,28,9,260,7,51,44,FALSE
158,157,6,185,1,77,76,FALSE
159,41,13,41,20,53,33,FALSE
160,45,26,125,13,83,70,FALSE
161,181,18,47,3,94,91,FALSE
162,144,2,57,19,97,78,FALSE
163,54,27,165,20,69,49,FALSE
164,197,19,231,10,31,21,FALSE
165,177,24,271,15,30,15,FALSE
166,75,4,40,16,57,41,FALSE
167,87,19,244,2,92,90,FALSE
168,163,23,220,2,44,42,FALSE
169,87,13,130,9,80,71,FALSE
170,115,14,207,8,33,25,FALSE
171,73,1,114,4,55,51,FALSE
172,199,12,181,15,32,17,True
173,198,19,89,18,59,41,True
174,91,29,282,7,95,88,FALSE
175,157,27,157,4,34,30,FALSE
176,80,16,101,8,63,55,FALSE
177,46,9,282,13,25,12,FALSE
178,89,4,157,17,43,26,FALSE
179,130,5,196,1,39,38,FALSE
180,42,27,210,4,35,31,FALSE
181,162,2,226,6,100,94,FALSE
182,139,29,276,16,42,26,FALSE
183,175,1,99,4,86,82,FALSE
184,111,29,177,16,24,8,FALSE
185,73,27,103,19,22,3,FALSE
186,184,18,133,10,95,85,FALSE
187,86,18,182,16,33,17,FALSE
188,29,11,187,14,71,57,FALSE
189,105,5,179,9,41,32,FALSE
190,34,9,291,16,63,47,FALSE
191,63,13,129,2,74,72,FALSE
192,45,4,143,2,96,94,FALSE
193,58,4,198,8,46,38,FALSE
194,196,28,206,3,31,28,FALSE
195,184,30,296,2,84,82,FALSE
196,47,10,37,4,37,33,FALSE
197,45,17,128,1,73,72,FALSE
198,164,19,278,18,52,34,FALSE
199,36,17,182,19,20,1,FALSE
200,152,10,186,5,47,42,FALSE
201,182,20,257,13,66,53,FALSE
202,125,6,251,15,81,66,FALSE
203,185,14,246,7,38,31,FALSE
204,122,10,82,18,72,54,FALSE
205,121,2,211,11,64,53,FALSE
206,66,30,224,7,61,54,FALSE
207,35,16,23,13,96,83,FALSE
208,62,20,294,12,20,8,FALSE
209,90,2,235,15,60,45,FALSE
210,134,24,91,4,32,28,FALSE
211,79,13,117,14,76,62,FALSE
212,145,19,44,9,75,66,FALSE
213,75,27,186,20,55,35,FALSE
214,80,29,243,8,54,46,FALSE
215,70,2,213,4,75,71,FALSE
216,163,19,279,13,94,81,FALSE
217,112,30,273,18,95,77,FALSE
218,36,6,151,17,55,38,FALSE
219,127,29,264,20,30,10,FALSE
220,66,17,44,11,23,12,FALSE
221,27,19,109,2,60,58,FALSE
222,73,4,51,12,100,88,FALSE
223,93,25,34,6,52,46,FALSE
224,192,8,92,4,41,37,FALSE
225,120,22,178,11,62,51,FALSE
226,176,29,184,16,27,11,FALSE
227,34,11,258,10,92,82,FALSE
228,64,2,296,17,66,49,FALSE
229,65,17,163,15,37,22,FALSE
230,180,20,81,2,85,83,FALSE
231,189,18,152,12,85,73,FALSE
232,109,16,105,5,54,49,FALSE
233,132,26,163,18,90,72,FALSE
234,91,2,181,6,84,78,FALSE
235,149,2,82,4,66,62,FALSE
236,89,16,159,12,73,61,FALSE
237,145,9,147,3,41,38,FALSE
238,179,13,74,1,85,84,FALSE
239,131,9,212,11,92,81,FALSE
240,22,5,253,19,92,73,FALSE
241,123,10,126,20,56,36,FALSE
242,174,2,52,19,80,61,FALSE
243,50,16,106,16,78,62,FALSE
244,197,23,120,6,44,38,FALSE
245,61,6,279,6,84,78,FALSE
246,162,21,73,6,60,54,FALSE
247,106,15,135,17,38,21,FALSE
248,169,24,75,14,30,16,FALSE
249,26,10,166,19,50,31,FALSE
250,83,12,89,14,70,56,FALSE
251,63,5,96,6,76,70,FALSE
252,74,20,220,3,95,92,FALSE
253,27,12,291,3,79,76,FALSE
254,142,12,80,17,97,80,FALSE
255,108,27,215,17,82,65,FALSE
256,175,9,101,20,89,69,FALSE
257,161,28,42,15,28,13,FALSE
258,142,24,34,3,53,50,FALSE
259,46,26,99,17,39,22,FALSE
260,151,7,30,6,62,56,FALSE
261,54,29,25,13,78,65,FALSE
262,70,5,80,6,93,87,FALSE
263,81,7,229,8,37,29,FALSE
264,120,9,28,9,39,30,FALSE
265,88,27,121,15,64,49,FALSE
266,80,1,58,18,41,23,FALSE
267,191,16,234,1,37,36,FALSE
268,109,23,300,17,65,48,FALSE
269,36,30,55,3,95,92,FALSE
270,153,21,190,7,59,52,True
271,21,5,88,11,42,31,FALSE
272,30,30,165,19,96,77,FALSE
273,42,16,261,4,21,17,FALSE
274,195,27,204,20,52,32,FALSE
275,76,18,124,17,80,63,FALSE
276,139,16,283,11,42,31,FALSE
277,101,5,69,6,86,80,FALSE
278,162,16,252,14,48,34,FALSE
279,50,17,153,11,54,43,FALSE
280,36,17,43,9,31,22,FALSE
281,101,22,162,1,35,34,FALSE
282,108,20,32,14,72,58,FALSE
283,69,18,192,2,84,82,FALSE
284,126,1,276,6,80,74,FALSE
285,119,25,121,1,57,56,FALSE
286,55,12,188,18,44,26,FALSE
287,112,20,219,20,95,75,FALSE
288,77,4,257,16,88,72,FALSE
289,94,28,295,11,24,13,FALSE
290,91,2,245,11,25,14,FALSE
291,168,9,84,17,74,57,FALSE
292,58,22,145,1,20,19,FALSE
293,40,10,116,6,37,31,FALSE
294,141,25,277,1,78,77,FALSE
295,122,19,213,17,42,25,FALSE
296,56,1,166,2,29,27,FALSE
297,195,19,58,4,36,32,FALSE
298,46,20,297,8,95,87,FALSE
299,77,20,229,7,40,33,FALSE
300,155,4,139,12,57,45,FALSE
301,26,2,251,4,73,69,FALSE
302,149,12,286,19,43,24,FALSE
303,135,8,67,10,46,36,FALSE
304,113,23,185,9,27,18,FALSE
305,43,25,283,9,46,37,FALSE
306,129,8,73,18,83,65,FALSE
307,61,27,258,5,76,71,FALSE
308,142,7,255,10,84,74,FALSE
309,148,8,144,20,37,17,FALSE
310,200,19,139,6,86,80,FALSE
311,176,12,250,20,84,64,True
312,36,15,39,16,95,79,FALSE
313,48,7,137,8,62,54,FALSE
314,177,17,83,1,60,59,FALSE
315,118,18,142,14,27,13,FALSE
316,43,24,89,20,56,36,FALSE
317,162,13,98,6,83,77,FALSE
318,63,27,69,12,51,39,FALSE
319,126,6,20,4,86,82,FALSE
320,95,29,156,1,21,20,FALSE
321,98,3,171,9,87,78,FALSE
322,25,5,242,9,63,54,FALSE
323,192,26,179,6,42,36,FALSE
324,28,3,73,18,61,43,FALSE
325,122,20,114,17,54,37,FALSE
326,171,26,257,19,82,63,FALSE
327,106,19,74,5,84,79,FALSE
328,67,3,252,20,21,1,FALSE
329,146,18,25,13,30,17,FALSE
330,139,24,234,10,79,69,FALSE
331,135,3,190,12,80,68,FALSE
332,147,5,288,7,31,24,FALSE
333,82,29,238,2,85,83,FALSE
334,105,25,295,11,26,15,FALSE
335,49,1,38,1,76,75,FALSE
336,84,5,167,20,74,54,FALSE
337,149,6,145,15,45,30,FALSE
338,36,17,21,14,58,44,FALSE
339,51,28,105,2,47,45,FALSE
340,111,9,115,9,45,36,FALSE
341,99,24,254,15,93,78,FALSE
342,130,8,38,8,28,20,FALSE
343,70,19,159,15,72,57,FALSE
344,157,21,232,6,60,54,FALSE
345,124,10,98,3,52,49,FALSE
346,161,29,234,1,99,98,FALSE
347,28,23,196,10,38,28,FALSE
348,36,24,133,18,41,23,FALSE
349,151,2,194,6,53,47,FALSE
350,135,12,59,7,74,67,FALSE
351,44,12,29,1,40,39,FALSE
352,127,19,209,8,74,66,FALSE
353,72,20,185,14,90,76,FALSE
354,75,11,24,2,22,20,FALSE
355,134,6,175,9,52,43,FALSE
356,54,30,112,20,96,76,FALSE
357,176,18,96,17,66,49,FALSE
358,182,29,34,13,21,8,FALSE
359,118,16,182,17,39,22,FALSE
360,51,28,94,10,78,68,FALSE
361,63,29,170,1,66,65,FALSE
362,159,14,147,20,53,33,FALSE
363,150,21,57,11,60,49,FALSE
364,168,25,260,19,58,39,FALSE
365,129,14,64,7,62,55,FALSE
366,27,24,180,17,29,12,FALSE
367,87,17,107,8,38,30,FALSE
368,147,20,300,14,98,84,FALSE
369,148,24,34,4,86,82,FALSE
370,158,10,258,3,99,96,FALSE
371,183,26,189,17,92,75,FALSE
372,131,1,277,6,45,39,FALSE
373,161,28,51,19,57,38,FALSE
374,79,12,256,10,42,32,FALSE
375,190,28,54,10,72,62,FALSE
376,34,6,153,12,79,67,FALSE
377,136,22,62,20,71,51,FALSE
378,26,17,21,19,20,1,FALSE
379,105,29,96,2,38,36,FALSE
380,122,7,146,12,68,56,FALSE
381,193,4,258,20,98,78,FALSE
382,176,18,279,9,69,60,FALSE
383,76,28,43,1,44,43,FALSE
384,120,21,210,3,78,75,FALSE
385,50,15,262,7,40,33,FALSE
386,118,8,200,1,30,29,FALSE
387,116,8,158,11,92,81,FALSE
388,77,25,175,2,20,18,FALSE
389,168,4,51,13,58,45,FALSE
390,187,19,130,16,32,16,FALSE
391,33,15,213,20,94,74,FALSE
392,55,23,193,12,37,25,FALSE
393,145,25,220,7,37,30,FALSE
394,137,30,245,10,52,42,FALSE
395,123,23,295,10,35,25,FALSE
396,172,9,123,13,97,84,FALSE
397,146,13,62,11,81,70,FALSE
398,153,22,96,4,69,65,FALSE
399,58,6,289,6,90,84,FALSE
400,92,10,135,2,91,89,FALSE
401,118,8,81,15,90,75,FALSE
402,106,8,199,16,92,76,FALSE
403,138,12,80,18,99,81,FALSE
404,58,3,139,5,25,20,FALSE
405,186,27,177,17,85,68,FALSE
406,115,20,228,16,35,19,FALSE
407,35,24,188,6,69,63,FALSE
408,196,28,45,8,50,42,FALSE
409,106,1,270,6,97,91,FALSE
410,160,23,230,4,21,17,FALSE
411,197,6,232,14,35,21,True
412,135,22,112,7,40,33,FALSE
413,168,30,213,7,59,52,FALSE
414,127,29,131,11,87,76,True
415,146,14,233,13,89,76,FALSE
416,110,2,224,14,23,9,FALSE
417,114,10,193,17,66,49,FALSE
418,170,7,119,20,63,43,FALSE
419,110,26,205,11,70,59,FALSE
420,47,20,298,1,72,71,FALSE
421,131,11,22,19,93,74,FALSE
422,148,18,26,9,97,88,FALSE
423,157,30,80,12,52,40,FALSE
424,191,9,195,9,47,38,FALSE
425,190,18,158,4,92,88,True
426,57,16,294,17,91,74,FALSE
427,161,26,126,18,69,51,FALSE
428,112,13,249,9,64,55,FALSE
429,110,29,89,7,47,40,FALSE
430,67,28,58,14,58,44,FALSE
431,43,7,267,8,93,85,FALSE
432,175,1,209,10,94,84,FALSE
433,87,24,144,7,37,30,FALSE
434,90,13,153,14,44,30,FALSE
435,84,17,238,15,73,58,FALSE
436,57,1,171,4,91,87,FALSE
437,129,12,56,13,33,20,FALSE
438,147,12,240,6,63,57,FALSE
439,158,26,34,7,59,52,FALSE
440,102,12,57,8,51,43,FALSE
441,85,25,74,8,45,37,FALSE
442,128,15,168,13,86,73,FALSE
443,66,1,65,4,42,38,FALSE
444,141,29,188,20,88,68,FALSE
445,153,26,34,12,35,23,FALSE
446,90,22,110,11,63,52,FALSE
447,64,30,242,17,61,44,FALSE
448,119,19,137,10,28,18,FALSE
449,168,6,148,8,34,26,FALSE
450,93,11,289,5,34,29,FALSE
451,96,7,158,7,39,32,FALSE
452,39,12,98,12,86,74,FALSE
453,24,13,35,8,29,21,FALSE
454,176,20,68,14,29,15,FALSE
455,88,19,98,14,29,15,FALSE
456,50,1,210,16,81,65,FALSE
457,60,23,134,16,68,52,FALSE
458,165,17,160,5,41,36,FALSE
459,53,20,61,7,41,34,FALSE
460,102,29,299,12,79,67,FALSE
461,183,24,256,8,49,41,FALSE
462,32,5,245,17,48,31,FALSE
463,134,2,63,14,61,47,FALSE
464,38,24,83,4,57,53,FALSE
465,110,28,223,20,31,11,FALSE
466,197,21,257,3,63,60,FALSE
467,41,5,264,14,93,79,FALSE
468,102,2,140,19,53,34,FALSE
469,197,6,247,1,44,43,FALSE
470,45,3,135,2,37,35,FALSE
471,68,5,37,8,78,70,FALSE
472,198,2,49,10,53,43,FALSE
473,190,8,269,2,64,62,FALSE
474,180,26,59,5,62,57,FALSE
475,160,2,257,14,87,73,FALSE
476,173,30,141,6,66,60,FALSE
477,175,18,92,3,59,56,FALSE
478,156,7,31,7,30,23,FALSE
479,104,21,27,17,71,54,FALSE
480,106,14,119,1,84,83,FALSE
481,126,30,147,19,65,46,FALSE
482,77,16,90,17,58,41,FALSE
483,74,24,299,20,32,12,FALSE
484,39,10,260,6,64,58,FALSE
485,168,1,99,15,78,63,FALSE
486,36,20,62,8,30,22,FALSE
487,173,2,99,14,49,35,FALSE
488,150,6,243,4,29,25,FALSE
489,193,24,149,20,77,57,FALSE
490,62,29,133,12,74,62,FALSE
491,163,4,276,11,39,28,FALSE
492,85,17,236,12,90,78,FALSE
493,23,26,27,13,93,80,FALSE
494,198,17,247,1,91,90,FALSE
495,38,17,221,6,48,42,FALSE
496,42,15,110,12,36,24,FALSE
497,200,28,99,6,61,55,FALSE
498,84,17,52,14,21,7,FALSE
499,188,4,47,17,31,14,FALSE
500,66,3,217,19,45,26,FALSE
501,131,7,90,14,96,82,FALSE
502,175,28,52,11,91,80,FALSE
503,145,26,51,8,78,70,True
504,46,23,44,12,74,62,FALSE
505,144,8,150,11,37,26,FALSE
506,89,9,149,17,85,68,FALSE
507,84,20,114,5,90,85,FALSE
508,195,9,265,1,27,26,FALSE
509,183,5,145,7,43,36,FALSE
510,79,3,144,7,33,26,FALSE
511,180,23,221,13,78,65,FALSE
512,134,29,40,9,66,57,FALSE
513,143,16,152,5,25,20,FALSE
514,82,23,49,10,96,86,FALSE
515,134,11,141,4,86,82,FALSE
516,152,20,173,17,30,13,FALSE
517,99,26,284,2,81,79,FALSE
518,157,21,192,4,62,58,FALSE
519,102,11,289,8,50,42,FALSE
520,176,26,254,18,54,36,FALSE
521,172,13,111,19,63,44,FALSE
522,186,2,205,17,97,80,FALSE
523,186,28,193,17,33,16,FALSE
524,93,15,294,20,79,59,FALSE
525,147,6,208,4,87,83,FALSE
526,40,17,72,6,44,38,FALSE
527,177,19,94,15,72,57,FALSE
528,99,21,175,17,93,76,FALSE
529,130,9,170,6,29,23,FALSE
530,156,29,94,11,62,51,FALSE
531,143,7,123,7,37,30,FALSE
532,26,4,184,20,33,13,FALSE
533,167,21,205,4,62,58,FALSE
534,163,25,117,6,87,81,FALSE
535,179,1,99,8,74,66,FALSE
536,112,11,185,20,93,73,FALSE
537,128,21,262,5,81,76,FALSE
538,31,19,152,9,53,44,FALSE
539,187,6,139,20,83,63,FALSE
540,110,24,109,5,82,77,FALSE
541,72,1,102,16,60,44,FALSE
542,97,4,60,20,56,36,FALSE
543,151,20,28,13,21,8,FALSE
544,46,11,67,16,80,64,FALSE
545,162,14,240,5,83,78,FALSE
546,42,24,257,5,97,92,FALSE
547,195,15,89,6,37,31,FALSE
548,117,13,115,10,75,65,FALSE
549,190,14,293,6,22,16,FALSE
550,152,19,42,3,50,47,FALSE
551,85,13,227,9,86,77,FALSE
552,159,8,291,10,81,71,FALSE
553,51,4,222,10,96,86,FALSE
554,90,4,257,16,76,60,FALSE
555,133,2,89,12,71,59,FALSE
556,184,7,166,19,50,31,FALSE
557,70,4,227,16,20,4,FALSE
558,183,7,94,15,28,13,FALSE
559,116,28,128,14,49,35,FALSE
560,184,23,199,3,51,48,FALSE
561,186,17,110,4,33,29,FALSE
562,76,21,262,20,67,47,FALSE
563,78,6,148,13,55,42,FALSE
564,90,19,120,11,66,55,FALSE
565,49,13,277,4,29,25,FALSE
566,60,11,197,2,25,23,FALSE
567,114,26,85,9,68,59,FALSE
568,159,25,193,16,80,64,FALSE
569,52,8,162,4,85,81,FALSE
570,55,27,179,8,92,84,FALSE
571,125,5,170,1,37,36,FALSE
572,173,10,97,11,28,17,FALSE
573,109,26,283,15,83,68,FALSE
574,156,6,288,8,57,49,FALSE
575,172,18,252,13,47,34,FALSE
576,90,18,225,1,35,34,FALSE
577,56,27,280,12,79,67,FALSE
578,124,1,258,18,89,71,FALSE
579,165,2,90,3,69,66,FALSE
580,143,25,152,20,92,72,FALSE
581,46,6,242,19,75,56,FALSE
582,90,29,212,19,97,78,FALSE
583,86,26,106,5,50,45,FALSE
584,67,9,126,7,34,27,FALSE
585,100,23,46,8,58,50,FALSE
586,200,27,35,1,73,72,FALSE
587,85,28,252,10,76,66,FALSE
588,66,17,233,12,35,23,FALSE
589,114,16,256,2,74,72,FALSE
590,124,30,232,17,35,18,FALSE
591,113,2,291,3,77,74,FALSE
592,169,14,141,6,79,73,FALSE
593,147,9,128,17,27,10,FALSE
594,43,21,106,8,33,25,FALSE
595,91,22,247,7,22,15,FALSE
596,66,16,30,1,65,64,True
597,81,21,291,16,70,54,FALSE
598,106,10,290,18,70,52,FALSE
599,113,3,131,2,68,66,FALSE
600,47,8,29,1,38,37,FALSE
601,130,29,187,16,84,68,FALSE
602,145,26,46,2,69,67,FALSE
603,176,24,118,9,47,38,FALSE
604,188,4,120,16,55,39,FALSE
605,138,20,71,16,69,53,FALSE
606,98,10,183,7,24,17,FALSE
607,188,4,210,17,35,18,FALSE
608,140,9,290,6,26,20,FALSE
609,177,29,236,13,46,33,FALSE
610,117,15,131,5,39,34,FALSE
611,137,2,29,11,66,55,FALSE
612,160,15,225,8,23,15,FALSE
613,39,21,97,2,22,20,FALSE
614,197,21,76,20,79,59,FALSE
615,185,28,147,14,76,62,FALSE
616,175,14,90,14,89,75,FALSE
617,48,17,167,4,59,55,FALSE
618,177,20,41,5,50,45,FALSE
619,178,8,202,2,79,77,FALSE
620,37,21,55,1,35,34,FALSE
621,183,13,43,18,24,6,FALSE
622,148,8,42,17,24,7,FALSE
623,182,26,253,10,84,74,FALSE
624,65,9,81,10,83,73,FALSE
625,132,12,43,4,74,70,FALSE
626,115,29,103,1,68,67,FALSE
627,150,6,183,1,79,78,FALSE
628,100,4,109,10,38,28,FALSE
629,49,4,142,5,44,39,FALSE
630,172,9,148,10,37,27,FALSE
631,137,16,143,20,54,34,FALSE
632,24,16,58,4,64,60,FALSE
633,63,20,197,4,93,89,FALSE
634,150,11,59,18,99,81,FALSE
635,70,23,204,11,40,29,FALSE
636,193,23,169,8,92,84,FALSE
637,101,26,282,17,58,41,FALSE
638,61,11,175,15,43,28,FALSE
639,193,8,59,8,25,17,FALSE
640,49,29,49,18,27,9,FALSE
641,131,21,270,10,98,88,FALSE
642,144,7,241,19,58,39,FALSE
643,88,26,200,14,38,24,FALSE
644,200,9,22,8,40,32,FALSE
645,152,9,27,16,73,57,FALSE
646,44,17,101,9,67,58,FALSE
647,79,22,63,9,66,57,FALSE
648,23,28,290,13,66,53,FALSE
649,187,11,271,17,77,60,FALSE
650,47,10,249,13,20,7,FALSE
651,92,25,238,15,58,43,FALSE
652,147,25,297,7,75,68,FALSE
653,37,3,46,16,48,32,FALSE
654,42,18,285,2,48,46,FALSE
655,102,29,199,8,77,69,FALSE
656,121,21,88,19,90,71,FALSE
657,32,19,120,15,39,24,FALSE
658,123,8,177,10,84,74,FALSE
659,90,9,287,11,73,62,FALSE
660,81,17,230,9,69,60,FALSE
661,182,24,165,13,53,40,FALSE
662,158,12,80,4,100,96,FALSE
663,98,2,292,11,38,27,FALSE
664,166,27,162,18,36,18,FALSE
665,70,24,81,15,26,11,FALSE
666,111,6,185,3,98,95,FALSE
667,40,14,151,7,74,67,FALSE
668,104,8,192,16,70,54,FALSE
669,58,28,269,8,59,51,FALSE
670,27,14,145,1,68,67,FALSE
671,176,15,93,19,32,13,FALSE
672,49,18,186,4,78,74,True
673,149,7,68,6,27,21,FALSE
674,142,29,212,4,69,65,FALSE
675,174,13,167,2,80,78,FALSE
676,99,4,53,17,22,5,FALSE
677,157,29,263,7,79,72,FALSE
678,149,24,28,9,42,33,FALSE
679,81,27,270,12,45,33,FALSE
680,137,23,180,17,46,29,FALSE
681,165,4,99,5,93,88,FALSE
682,100,25,286,15,62,47,FALSE
683,25,25,238,15,47,32,FALSE
684,148,27,243,14,100,86,FALSE
685,142,28,127,19,81,62,FALSE
686,21,30,64,17,76,59,FALSE
687,22,19,29,4,71,67,FALSE
688,71,28,152,12,84,72,FALSE
689,85,10,294,19,44,25,FALSE
690,173,21,258,6,72,66,FALSE
691,196,27,208,8,60,52,FALSE
692,180,3,68,19,87,68,FALSE
693,162,21,52,6,33,27,FALSE
694,70,21,152,15,80,65,FALSE
695,66,20,159,5,72,67,FALSE
696,37,29,48,5,33,28,FALSE
697,157,20,42,19,55,36,FALSE
698,102,3,130,9,89,80,FALSE
699,101,30,132,4,90,86,FALSE
700,133,13,22,16,33,17,FALSE
701,71,1,157,17,27,10,FALSE
702,142,2,113,20,39,19,FALSE
703,110,11,124,12,24,12,FALSE
704,105,15,145,9,91,82,FALSE
705,130,7,198,18,37,19,FALSE
706,119,27,227,4,46,42,FALSE
707,153,29,213,13,28,15,FALSE
708,148,7,259,9,98,89,FALSE
709,185,7,190,6,68,62,FALSE
710,174,15,209,16,31,15,FALSE
711,170,5,89,2,53,51,FALSE
712,179,20,163,17,41,24,FALSE
713,173,17,198,5,97,92,FALSE
714,116,23,261,9,100,91,FALSE
715,93,30,218,13,23,10,FALSE
716,194,16,137,8,67,59,FALSE
717,47,26,263,4,98,94,FALSE
718,69,14,220,16,70,54,FALSE
719,200,25,27,3,52,49,FALSE
720,55,22,199,3,26,23,FALSE
721,39,17,300,2,43,41,FALSE
722,114,26,67,10,80,70,FALSE
723,24,15,261,6,82,76,FALSE
724,171,7,133,4,60,56,FALSE
725,180,16,74,19,20,1,FALSE
726,146,9,298,9,30,21,FALSE
727,154,28,198,17,24,7,FALSE
728,31,28,183,16,63,47,FALSE
729,154,19,123,5,93,88,FALSE
730,106,1,62,12,35,23,FALSE
731,103,28,95,20,91,71,FALSE
732,162,16,223,8,40,32,FALSE
733,133,5,49,5,28,23,FALSE
